Time(s),Temperature(Â°C),Humidity(%)
22:09:39,21,69
22:09:52,21,69
22:10:05,21,69
22:10:18,21,69
22:10:31,21,69
22:10:44,21,69
22:10:57,21,69
22:11:10,21,69
22:11:23,21,69
22:11:36,21,69
22:11:49,21,69
22:12:02,21,69
22:12:15,21,69
22:12:28,21,69
22:12:41,21,69
22:12:54,21,69
22:13:08,21,69
22:13:21,21,69
22:13:34,21,69
22:13:47,21,69
22:14:00,21,69
22:14:13,21,69
22:14:26,21,69
22:14:39,21,69
22:14:52,21,69
22:15:05,21,69
22:15:18,21,69
22:15:31,21,69
22:15:44,21,69
22:15:57,21,69
22:16:10,21,69
22:16:23,21,69
22:16:36,21,69
22:16:49,21,69
22:17:02,21,69
22:17:15,21,69
22:17:28,21,69
22:17:41,21,69
22:17:54,21,69
